mol_id,title,num_confs,has_sites,b_lp_Chiralities_Consistent,i_epik_Tot_Q,i_epik_Tot_abs_Q,i_f3d_flags,i_lp_mmshare_version,i_m_ct_format,i_m_source_file_index,i_mol_phasedb_index,r_epik_Charging_Adjusted_Penalty,r_epik_Ionization_Penalty,r_epik_Ionization_Penalty_Charging,r_epik_Ionization_Penalty_Neutral,r_epik_State_Penalty,r_f3d_energy,r_f3d_relative_energy,r_lp_Energy,r_lp_tautomer_probability,s_epik_Chemistry_Notes,s_epik_cmdline,s_epik_input,s_lp_Force_Field,s_lp_Variant,s_lp_label,s_m_source_file,s_phase_Unique_SMILES,s_phase_variant,s_st_Chirality_1,s_st_Chirality_2,s_st_Chirality_3,s_st_Chirality_4,s_st_Chirality_5,s_st_Chirality_6,s_st_EZ_1
1,RO5045337,10,1,1,0,0,0,57141,2,1,1,0.0897474861427483,0.09810000000000001,0,0.09810000000000001,0.0897,5201.27706,0,90.815392,NULL,This compound has an imine and may undergo hydrolysis.,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11bQ0gyXU9jMVtjSF1jKEMoW0NIM10pKFtDSDNdKVtDSDNdKVtjSF1bY0hdYzFDKD1OMilOKFtDQF0oW0NIM10pKGMzW2NIXVtjSF1jKENsKVtjSF1bY0hdMylbQ0BdMihbQ0gzXSljNFtjSF1bY0hdYyhDbClbY0hdW2NIXTQpQyg9TylONVtDSDJdW0NIMl1OKFtDSDJdW0NIMl01KVtDSDJdW0NIMl1bQ0gyXVMoPU8pKD1PKVtDSDNd,OPLS_2005,RO5045337-1,1_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,c1cc(Cl)ccc1[C@@]2(C)[C@@](C)(c3ccc(Cl)cc3)N(C(=N2)c(cc4)c(OCC)cc4C(C)(C)C)C(=O)N5CCN(CC5)CCCS(=O)(=O)C,RO5045337-1,2_S_49_10_3_1,10_R_19_2_12_11,NULL,NULL,NULL,NULL,NULL
2,RO5045337,10,1,1,1,1,0,57141,2,1,2,2.32504339191763,1.1653,1.1625,0.0028,1.1625,1482.73792,0,97.442903,NULL,This compound has an imine and may undergo hydrolysis.,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11bQ0gyXU9jMVtjSF1jKEMoW0NIM10pKFtDSDNdKVtDSDNdKVtjSF1bY0hdYzFDKD1OMilOKFtDQF0oW0NIM10pKGMzW2NIXVtjSF1jKENsKVtjSF1bY0hdMylbQ0BdMihbQ0gzXSljNFtjSF1bY0hdYyhDbClbY0hdW2NIXTQpQyg9TylONVtDSDJdW0NIMl1OKFtDSDJdW0NIMl01KVtDSDJdW0NIMl1bQ0gyXVMoPU8pKD1PKVtDSDNd,OPLS_2005,RO5045337-2,1_sdstereoexpander_1_neutralizer_1_epik_2_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,c1cc(Cl)ccc1[C@@]2(C)[C@@](C)(c3ccc(Cl)cc3)N(C(=N2)c(cc4)c(OCC)cc4C(C)(C)C)C(=O)N5CC[NH+](CC5)CCCS(=O)(=O)C,RO5045337-2,2_S_49_10_3_1,10_R_19_2_12_11,NULL,NULL,NULL,NULL,NULL
3,Z1663153415,10,1,1,0,0,0,57141,2,2,3,0,0,0,0,-0,32.07331,0,25.168911,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMW5vYyhuMSlbQ0BIXTJbQ0gyXU9bQ0gyXVtDSDJdTjJDKD1PKWMzW2NIXXNbY0hdYzNbQ0gzXQ==,OPLS_2005,Z1663153415-2,2_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_2,phasedb_3-LIGPREP-001-in.maegz,c1scc(C)c1C(=O)N2CCOC[C@H]2c(on3)nc3C,Z1663153415-1,6_S_11_5_7_24,NULL,NULL,NULL,NULL,NULL,NULL
4,Z1650851736,10,1,1,0,0,0,57141,2,3,4,0,0,0,0,-0,72.84633000000001,0,30.62337,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11PYzFbY0hdW2NIXVtjSF1jKFtjSF0xKVtDSDJdTihbQ0gzXSlDKD1PKWMyW2NIXVtjSF1bY0hdW2NIXWMyLW4zW2NIXVtjSF1ubjM=,OPLS_2005,Z1650851736-1,3_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,n1nccn1-c(cccc2)c2C(=O)N(C)Cc3cc(OC)ccc3,Z1650851736-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,Z1651182607,10,1,1,0,0,0,57141,2,4,5,0,0,0,0,-0,52.94047000000001,0,25.218467,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,RkMoRikoRilbQ0gyXU4oW0NIM10pQyg9TyljMVtjSF1bY0hdW2NIXVtjSF1jMS1uMltjSF1bY0hdbm4y,OPLS_2005,Z1651182607-1,4_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,FC(F)(F)CN(C)C(=O)c1c(cccc1)-n2ccnn2,Z1651182607-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,Z1638092160,10,1,1,1,1,0,57141,2,5,6,0.0274194140346641,0.0274,0.0011,0.0263,0.0263,70.01535000000003,0,18.695653,NULL,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11bTkhdQyg9TyljMVtjSF1bY0hdW2NIXWMoW2NIXTEpW0NIMl1bQ0gyXVtOSF1bQ0hdMltDSDJdW0NIMl1OKFtDSDJdW0NIMl0yKWMzbltjSF1bY0hdczM=,OPLS_2005,Z1638092160-1,5_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,CNC(=O)c1cc(ccc1)CC[NH2+]C2CCN(CC2)c3nccs3,Z1638092160-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,Z1212004736,10,1,1,0,0,0,57141,2,6,7,0,0,0,0,-0,82.58803999999999,0,35.289604,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11PW0NIMl1bQ0gyXU9jMVtjSF1bY0hdW2NIXWMoW2NIXTEpQyg9TylOMltDSDJdW0NIMl1bQ0gyXVtDSDJdW0NAQEhdMmMzbltjSF1bY0hdczM=,OPLS_2005,Z1212004736-1,6_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_1,phasedb_3-LIGPREP-001-in.maegz,COCCOc(ccc1)cc1C(=O)N2CCCC[C@@H]2c3nccs3,Z1212004736-1,18_R_13_19_17_43,NULL,NULL,NULL,NULL,NULL,NULL
8,Z1633509877,10,1,1,0,0,0,57141,2,7,8,0.170727138102214,0.1715,0,0.1715,0.1707,39.20290000000001,0,59.708385,NULL,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W2NIXTFbY0hdW2NIXVtjSF1jKGMxMiluYyhOKFtDSDNdKVtDSDNdKVtjSF1jMkMoPU8pTihbQ0gyXTMpW0NIMl1bQ0BASF0oW0NASF0zNClOKFtDSDNdKVtDSDJdW0NIMl1PNA==,OPLS_2005,Z1633509877-4,7_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_4,phasedb_3-LIGPREP-001-in.maegz,CN1CCO[C@@H]([C@H]12)CN(C2)C(=O)c3cc(N(C)C)nc(c34)cccc4,Z1633509877-1,11_R_12_17_10_35,17_R_15_11_18_43,NULL,NULL,NULL,NULL,NULL
9,Z1633509877,10,1,1,1,1,0,57141,2,7,9,1.64104330904082,0.8207,0.8205,0.0002,0.8205,536.3271999999999,0,55.584747,NULL,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W2NIXTFbY0hdW2NIXVtjSF1jKGMxMiluYyhOKFtDSDNdKVtDSDNdKVtjSF1jMkMoPU8pTihbQ0gyXTMpW0NIMl1bQ0BASF0oW0NASF0zNClOKFtDSDNdKVtDSDJdW0NIMl1PNA==,OPLS_2005,Z1633509877-9,7_sdstereoexpander_1_neutralizer_1_epik_2_stereoizer_5,phasedb_3-LIGPREP-001-in.maegz,C[N@H+]1CCO[C@H]([C@H]12)CN(C2)C(=O)c3cc(N(C)C)nc(c34)cccc4,Z1633509877-2,11_S_12_17_10_35,15_S_17_14_16_50,17_R_15_11_18_43,NULL,NULL,NULL,NULL
10,Z1632262203,10,1,1,0,0,0,57141,2,8,10,0,0.0001,0,0.0001,-0,75.95509,0,40.294644,1,NULL,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAwMDAwMCcsICctcGh0JywgJzEuMDAwMDAwJywgJy1tcycsICcxNicsICctdG4nLCAnOCcsICctbWEnLCAnMjAwJywgJy1pbWFlJywgJzxpbmZpbGUubWFlPicsICctb21hZScsICc8b3V0ZmlsZS5tYWU+Jw==,W0NIM11jMVtjSF1bY0hdW2NIXWMoYzFbQ0gzXSlbQ0BIXShbQ0gzXSlbTkhdQyg9TylbTkhdW0NIMl1bQ0BIXTJbQ0gyXUMoPU8pTihbQ0gyXTIpW0NIXTNbQ0gyXVtDSDJdMw==,OPLS_2005,Z1632262203-3,8_sdstereoexpander_1_neutralizer_1_epik_1_stereoizer_3,phasedb_3-LIGPREP-001-in.maegz,c1ccc(C)c(C)c1[C@H](C)NC(=O)NC[C@H](CC2=O)CN2C3CC3,Z1632262203-1,7_S_9_6_8_31,14_S_22_13_15_39,NULL,NULL,NULL,NULL,NULL
