SQLiteProp,SourceProp
mol_id,
title,s_m_title
num_confs,
has_sites,
b_lp_Chiralities_Consistent,b_lp_Chiralities_Consistent
i_epik_Tot_Q,i_epik_Tot_Q
i_epik_Tot_abs_Q,i_epik_Tot_abs_Q
i_f3d_flags,i_f3d_flags
i_lp_mmshare_version,i_lp_mmshare_version
i_m_ct_format,i_m_ct_format
i_m_source_file_index,i_m_source_file_index
i_mol_phasedb_index,i_mol_phasedb_index
r_epik_Charging_Adjusted_Penalty,r_epik_Charging_Adjusted_Penalty
r_epik_Ionization_Penalty,r_epik_Ionization_Penalty
r_epik_Ionization_Penalty_Charging,r_epik_Ionization_Penalty_Charging
r_epik_Ionization_Penalty_Neutral,r_epik_Ionization_Penalty_Neutral
r_epik_State_Penalty,r_epik_State_Penalty
r_f3d_energy,r_f3d_energy
r_f3d_relative_energy,r_f3d_relative_energy
r_lp_Energy,r_lp_Energy
r_lp_tautomer_probability,r_lp_tautomer_probability
s_epik_Chemistry_Notes,s_epik_Chemistry_Notes
s_epik_cmdline,s_epik_cmdline
s_epik_input,s_epik_input
s_lp_Force_Field,s_lp_Force_Field
s_lp_Variant,s_lp_Variant
s_lp_label,s_lp_label
s_m_source_file,s_m_source_file
s_phase_Unique_SMILES,s_phase_Unique_SMILES
s_phase_variant,s_phase_variant
s_st_Chirality_1,s_st_Chirality_1
s_st_Chirality_2,s_st_Chirality_2
s_st_Chirality_3,s_st_Chirality_3
s_st_Chirality_4,s_st_Chirality_4
s_st_Chirality_5,s_st_Chirality_5
s_st_Chirality_6,s_st_Chirality_6
s_st_EZ_1,s_st_EZ_1
